Accident_ID,Accident_Date,Year,Month,Day_of_Week,Time_of_Day,Province,District,Road_Type,Vehicle_Type,Weather,Cause_of_Accident,Severity,Deaths,Injuries,Vehicles_Involved
84,01/26/2023,2023,January,Thursday,Early Morning,Madhesh,Dhanusha,Highway,Car,Clear,Mechanical Failure,Minor,0,2,3
85,12/15/2023,2023,December,Friday,Early Morning,Koshi,Sunsari,Highway,Truck,Foggy,Over-speeding,Fatal,1,2,1
86,06/25/2021,2021,June,Friday,Afternoon,Madhesh,Bara,Rural Road,Motorcycle,Clear,Careless Driving,Minor,0,1,1
87,03/25/2020,2020,March,Wednesday,Evening,Madhesh,Parsa,Rural Road,Motorcycle,Rainy,Drunk Driving,Serious,0,3,2
88,08/22/2022,2022,August,Monday,Evening,Karnali,Jajarkot,Urban Road,Motorcycle,Clear,Careless Driving,Minor,0,1,1
89,02/27/2020,2020,February,Thursday,Early Morning,Bagmati,Kathmandu,Highway,Motorcycle,Clear,Careless Driving,Fatal,6,3,3
90,03/09/2022,2022,March,Wednesday,Afternoon,Karnali,Dailekh,Rural Road,Jeep,Clear,Careless Driving,Minor,0,0,1
91,10/26/2023,2023,October,Thursday,Evening,Sudurpashchim,Kailali,Rural Road,Jeep,Rainy,Over-speeding,Minor,0,1,2
92,07/02/2024,2024,July,Tuesday,Early Morning,Lumbini,Dang,Rural Road,Motorcycle,Clear,Drunk Driving,Minor,0,0,2
93,04/01/2023,2023,April,Saturday,Early Morning,Madhesh,Parsa,Highway,Motorcycle,Clear,Over-speeding,Serious,0,2,2
94,03/30/2023,2023,March,Thursday,Morning,Bagmati,Bhaktapur,Highway,Motorcycle,Foggy,Poor Road Condition,Minor,0,1,1
95,12/26/2020,2020,December,Saturday,Morning,Sudurpashchim,Dadeldhura,Highway,Motorcycle,Clear,Careless Driving,Minor,0,2,2
96,07/27/2024,2024,July,Saturday,Evening,Madhesh,Bara,Rural Road,Truck,Clear,Over-speeding,Minor,0,1,3
97,01/04/2024,2024,January,Thursday,Evening,Lumbini,Rupandehi,Urban Road,Motorcycle,Clear,Careless Driving,Minor,0,1,2
98,07/11/2021,2021,July,Sunday,Early Morning,Koshi,Morang,Highway,Motorcycle,Clear,Over-speeding,Fatal,4,1,1
99,10/27/2024,2024,October,Sunday,Morning,Koshi,Jhapa,Highway,Car,Clear,Drunk Driving,Fatal,3,3,4
100,12/26/2021,2021,December,Sunday,Afternoon,Bagmati,Kathmandu,Urban Road,Car,Rainy,Over-speeding,Minor,0,1,3
101,04/27/2021,2021,April,Tuesday,Afternoon,Karnali,Jajarkot,Rural Road,Motorcycle,Clear,Over-speeding,Minor,0,0,4
102,06/10/2024,2024,June,Monday,Morning,Sudurpashchim,Kailali,Highway,Motorcycle,Clear,Mechanical Failure,Serious,0,3,3
103,03/03/2021,2021,March,Wednesday,Early Morning,Koshi,Morang,Urban Road,Motorcycle,Clear,Careless Driving,Serious,0,6,3
104,09/23/2020,2020,September,Wednesday,Evening,Lumbini,Dang,Urban Road,Truck,Rainy,Poor Road Condition,Minor,0,2,1
105,11/13/2024,2024,November,Wednesday,Night,Madhesh,Dhanusha,Highway,Truck,Clear,Careless Driving,Fatal,1,2,3
106,07/31/2021,2021,July,Saturday,Afternoon,Sudurpashchim,Kailali,Rural Road,Car,Clear,Over-speeding,Minor,0,2,3
107,11/12/2020,2020,November,Thursday,Afternoon,Bagmati,Lalitpur,Urban Road,Motorcycle,Clear,Drunk Driving,Serious,0,5,2
108,07/23/2021,2021,July,Friday,Night,Madhesh,Parsa,Urban Road,Car,Clear,Careless Driving,Minor,0,2,4
109,07/29/2022,2022,July,Friday,Night,Bagmati,Bhaktapur,Highway,Motorcycle,Clear,Over-speeding,Fatal,2,2,3
110,03/22/2024,2024,March,Friday,Afternoon,Koshi,Sunsari,Urban Road,Motorcycle,Rainy,Poor Road Condition,Minor,0,2,2
111,02/02/2021,2021,February,Tuesday,Night,Lumbini,Dang,Highway,Motorcycle,Rainy,Over-speeding,Minor,0,0,4
112,12/01/2024,2024,December,Sunday,Early Morning,Sudurpashchim,Dadeldhura,Urban Road,Motorcycle,Rainy,Careless Driving,Minor,0,1,2
113,07/29/2020,2020,July,Wednesday,Early Morning,Bagmati,Bhaktapur,Urban Road,Car,Rainy,Poor Road Condition,Serious,0,2,2
114,03/05/2023,2023,March,Sunday,Afternoon,Sudurpashchim,Kailali,Highway,Bus,Clear,Over-speeding,Minor,0,0,1
115,04/22/2023,2023,April,Saturday,Morning,Madhesh,Dhanusha,Urban Road,Car,Clear,Careless Driving,Minor,0,1,3
116,06/19/2020,2020,June,Friday,Morning,Sudurpashchim,Kailali,Highway,Motorcycle,Clear,Drunk Driving,Fatal,3,4,3
117,11/03/2024,2024,November,Sunday,Afternoon,Gandaki,Kaski,Urban Road,Truck,Clear,Careless Driving,Minor,0,2,4
118,04/17/2021,2021,April,Saturday,Evening,Madhesh,Parsa,Highway,Motorcycle,Clear,Over-speeding,Minor,0,1,1
119,11/30/2022,2022,November,Wednesday,Evening,Madhesh,Bara,Urban Road,Motorcycle,Clear,Over-speeding,Serious,0,2,1
120,11/03/2024,2024,November,Sunday,Early Morning,Gandaki,Syangja,Highway,Motorcycle,Clear,Drunk Driving,Serious,0,5,2
121,10/03/2021,2021,October,Sunday,Afternoon,Karnali,Surkhet,Urban Road,Car,Clear,Drunk Driving,Minor,0,2,2
122,04/07/2022,2022,April,Thursday,Early Morning,Gandaki,Syangja,Rural Road,Motorcycle,Clear,Drunk Driving,Fatal,6,2,2
123,07/30/2022,2022,July,Saturday,Morning,Gandaki,Tanahun,Rural Road,Motorcycle,Rainy,Mechanical Failure,Minor,0,1,1
124,10/12/2021,2021,October,Tuesday,Evening,Lumbini,Banke,Highway,Bus,Clear,Over-speeding,Minor,0,1,3
125,11/03/2021,2021,November,Wednesday,Afternoon,Karnali,Dailekh,Urban Road,Car,Clear,Drunk Driving,Minor,0,2,2
126,10/18/2022,2022,October,Tuesday,Morning,Lumbini,Rupandehi,Urban Road,Motorcycle,Clear,Careless Driving,Minor,0,0,4
127,02/17/2024,2024,February,Saturday,Night,Karnali,Jajarkot,Highway,Motorcycle,Clear,Poor Road Condition,Fatal,2,1,2
128,02/13/2020,2020,February,Thursday,Evening,Karnali,Surkhet,Rural Road,Motorcycle,Clear,Poor Road Condition,Minor,0,1,1
129,07/29/2023,2023,July,Saturday,Morning,Lumbini,Dang,Urban Road,Motorcycle,Clear,Poor Road Condition,Fatal,1,3,2
130,01/18/2020,2020,January,Saturday,Evening,Gandaki,Syangja,Urban Road,Bus,Rainy,Poor Road Condition,Minor,0,1,1
131,12/26/2023,2023,December,Tuesday,Early Morning,Bagmati,Makwanpur,Rural Road,Motorcycle,Clear,Over-speeding,Minor,0,0,3
132,01/26/2024,2024,January,Friday,Early Morning,Bagmati,Lalitpur,Highway,Motorcycle,Clear,Drunk Driving,Minor,0,2,1
133,07/20/2020,2020,July,Monday,Morning,Bagmati,Makwanpur,Urban Road,Bus,Clear,Over-speeding,Fatal,4,2,3
134,05/26/2020,2020,May,Tuesday,Evening,Sudurpashchim,Kanchanpur,Urban Road,Motorcycle,Rainy,Careless Driving,Minor,0,2,4
135,09/05/2020,2020,September,Saturday,Night,Sudurpashchim,Dadeldhura,Highway,Truck,Clear,Drunk Driving,Minor,0,0,2
136,03/06/2024,2024,March,Wednesday,Morning,Lumbini,Banke,Highway,Car,Clear,Poor Road Condition,Serious,0,5,1
137,04/07/2020,2020,April,Tuesday,Morning,Koshi,Jhapa,Highway,Car,Foggy,Careless Driving,Minor,0,1,1
138,11/25/2021,2021,November,Thursday,Morning,Bagmati,Makwanpur,Highway,Motorcycle,Clear,Over-speeding,Minor,0,0,1
139,10/26/2021,2021,October,Tuesday,Evening,Karnali,Surkhet,Highway,Motorcycle,Clear,Poor Road Condition,Minor,0,1,2
140,07/14/2021,2021,July,Wednesday,Afternoon,Karnali,Jajarkot,Rural Road,Motorcycle,Clear,Careless Driving,Fatal,2,1,1
141,03/26/2022,2022,March,Saturday,Night,Sudurpashchim,Dadeldhura,Rural Road,Bus,Rainy,Over-speeding,Minor,0,2,4
142,09/13/2020,2020,September,Sunday,Evening,Lumbini,Dang,Highway,Motorcycle,Rainy,Over-speeding,Minor,0,0,2
143,12/01/2023,2023,December,Friday,Afternoon,Karnali,Dailekh,Highway,Car,Clear,Poor Road Condition,Serious,0,3,3
144,08/25/2021,2021,August,Wednesday,Afternoon,Gandaki,Syangja,Highway,Motorcycle,Clear,Over-speeding,Minor,0,1,4
145,01/31/2021,2021,January,Sunday,Evening,Karnali,Jajarkot,Highway,Motorcycle,Clear,Drunk Driving,Serious,0,2,1
146,10/08/2022,2022,October,Saturday,Night,Koshi,Jhapa,Highway,Motorcycle,Clear,Careless Driving,Minor,0,2,3
147,06/14/2021,2021,June,Monday,Night,Madhesh,Parsa,Rural Road,Motorcycle,Clear,Over-speeding,Serious,0,4,2
148,09/08/2023,2023,September,Friday,Night,Lumbini,Rupandehi,Urban Road,Truck,Clear,Mechanical Failure,Serious,0,3,2
149,08/21/2024,2024,August,Wednesday,Afternoon,Bagmati,Lalitpur,Highway,Motorcycle,Clear,Drunk Driving,Serious,0,2,3
150,01/22/2021,2021,January,Friday,Afternoon,Gandaki,Syangja,Rural Road,Motorcycle,Clear,Over-speeding,Minor,0,1,1
151,12/01/2024,2024,December,Sunday,Morning,Gandaki,Syangja,Highway,Truck,Clear,Over-speeding,Minor,0,1,2
152,02/23/2022,2022,February,Wednesday,Evening,Gandaki,Tanahun,Highway,Motorcycle,Clear,Over-speeding,Minor,0,2,2
153,12/12/2020,2020,December,Saturday,Night,Gandaki,Tanahun,Highway,Motorcycle,Foggy,Over-speeding,Serious,0,5,1
154,04/16/2020,2020,April,Thursday,Night,Lumbini,Rupandehi,Highway,Motorcycle,Clear,Over-speeding,Minor,0,1,1
155,03/12/2021,2021,March,Friday,Evening,Gandaki,Tanahun,Highway,Motorcycle,Foggy,Over-speeding,Serious,0,2,2
156,03/21/2023,2023,March,Tuesday,Morning,Koshi,Sunsari,Urban Road,Car,Rainy,Poor Road Condition,Minor,0,0,1
157,12/25/2023,2023,December,Monday,Morning,Lumbini,Dang,Highway,Car,Foggy,Drunk Driving,Minor,0,1,2
158,08/16/2020,2020,August,Sunday,Morning,Gandaki,Kaski,Urban Road,Truck,Rainy,Poor Road Condition,Minor,0,1,4
159,12/16/2021,2021,December,Thursday,Afternoon,Madhesh,Parsa,Highway,Car,Rainy,Over-speeding,Fatal,1,2,1
160,06/27/2023,2023,June,Tuesday,Night,Sudurpashchim,Dadeldhura,Highway,Motorcycle,Clear,Over-speeding,Minor,0,2,3
161,10/04/2020,2020,October,Sunday,Afternoon,Koshi,Morang,Rural Road,Car,Clear,Over-speeding,Serious,0,5,1
162,11/12/2020,2020,November,Thursday,Afternoon,Madhesh,Parsa,Highway,Car,Foggy,Careless Driving,Minor,0,2,4
163,08/22/2020,2020,August,Saturday,Night,Gandaki,Kaski,Highway,Car,Clear,Drunk Driving,Minor,0,1,1
164,04/11/2021,2021,April,Sunday,Night,Koshi,Sunsari,Highway,Car,Foggy,Mechanical Failure,Serious,0,3,4
165,06/23/2024,2024,June,Sunday,Morning,Koshi,Jhapa,Urban Road,Motorcycle,Rainy,Over-speeding,Minor,0,1,3
166,04/21/2024,2024,April,Sunday,Evening,Koshi,Sunsari,Highway,Motorcycle,Rainy,Careless Driving,Serious,0,4,4
167,01/19/2021,2021,January,Tuesday,Evening,Koshi,Jhapa,Highway,Motorcycle,Rainy,Careless Driving,Minor,0,0,2
168,11/12/2023,2023,November,Sunday,Afternoon,Sudurpashchim,Kailali,Highway,Motorcycle,Clear,Careless Driving,Minor,0,2,1
169,11/25/2024,2024,November,Monday,Morning,Lumbini,Banke,Urban Road,Motorcycle,Rainy,Careless Driving,Serious,0,5,2
170,01/02/2024,2024,January,Tuesday,Early Morning,Koshi,Morang,Rural Road,Motorcycle,Clear,Drunk Driving,Serious,0,5,1
171,11/04/2021,2021,November,Thursday,Evening,Sudurpashchim,Kailali,Highway,Motorcycle,Rainy,Poor Road Condition,Minor,0,2,4
172,08/15/2020,2020,August,Saturday,Early Morning,Gandaki,Tanahun,Highway,Motorcycle,Rainy,Over-speeding,Minor,0,2,3
173,12/05/2021,2021,December,Sunday,Early Morning,Lumbini,Banke,Highway,Motorcycle,Clear,Over-speeding,Fatal,1,3,4
174,08/31/2023,2023,August,Thursday,Morning,Madhesh,Bara,Highway,Car,Clear,Poor Road Condition,Serious,0,6,1
175,03/12/2021,2021,March,Friday,Night,Sudurpashchim,Kailali,Rural Road,Car,Rainy,Over-speeding,Serious,0,5,4
176,02/21/2020,2020,February,Friday,Early Morning,Sudurpashchim,Kanchanpur,Urban Road,Motorcycle,Clear,Over-speeding,Minor,0,1,2
177,02/02/2022,2022,February,Wednesday,Evening,Sudurpashchim,Kanchanpur,Highway,Motorcycle,Clear,Over-speeding,Minor,0,1,4
178,08/31/2024,2024,August,Saturday,Afternoon,Karnali,Dailekh,Urban Road,Car,Clear,Mechanical Failure,Minor,0,1,3
179,04/06/2022,2022,April,Wednesday,Early Morning,Sudurpashchim,Kailali,Highway,Motorcycle,Rainy,Poor Road Condition,Minor,0,1,3
180,07/20/2022,2022,July,Wednesday,Night,Lumbini,Dang,Rural Road,Motorcycle,Clear,Over-speeding,Minor,0,2,2
181,09/17/2023,2023,September,Sunday,Evening,Karnali,Jajarkot,Highway,Motorcycle,Clear,Careless Driving,Minor,0,1,3
182,07/10/2020,2020,July,Friday,Afternoon,Karnali,Jajarkot,Rural Road,Jeep,Rainy,Poor Road Condition,Minor,0,1,3
183,05/23/2024,2024,May,Thursday,Afternoon,Karnali,Surkhet,Urban Road,Car,Rainy,Over-speeding,Serious,0,2,1
184,10/28/2020,2020,October,Wednesday,Early Morning,Sudurpashchim,Dadeldhura,Urban Road,Motorcycle,Clear,Over-speeding,Minor,0,2,4
185,06/20/2020,2020,June,Saturday,Evening,Koshi,Sunsari,Highway,Bus,Foggy,Poor Road Condition,Minor,0,0,2
186,01/19/2021,2021,January,Tuesday,Afternoon,Sudurpashchim,Kanchanpur,Urban Road,Jeep,Foggy,Poor Road Condition,Minor,0,0,4
187,08/23/2022,2022,August,Tuesday,Early Morning,Sudurpashchim,Dadeldhura,Urban Road,Motorcycle,Clear,Poor Road Condition,Minor,0,0,2
188,06/03/2022,2022,June,Friday,Early Morning,Bagmati,Chitwan,Highway,Jeep,Clear,Poor Road Condition,Fatal,6,2,2
189,02/06/2022,2022,February,Sunday,Afternoon,Karnali,Jajarkot,Urban Road,Car,Rainy,Over-speeding,Serious,0,4,1
190,04/28/2023,2023,April,Friday,Morning,Karnali,Surkhet,Urban Road,Car,Clear,Careless Driving,Serious,0,4,4
191,08/13/2021,2021,August,Friday,Afternoon,Sudurpashchim,Kanchanpur,Urban Road,Motorcycle,Foggy,Careless Driving,Minor,0,1,3
192,12/10/2024,2024,December,Tuesday,Early Morning,Lumbini,Rupandehi,Urban Road,Motorcycle,Foggy,Over-speeding,Fatal,3,4,2
193,05/01/2022,2022,May,Sunday,Evening,Gandaki,Kaski,Urban Road,Motorcycle,Rainy,Poor Road Condition,Minor,0,2,3
194,01/01/2022,2022,January,Saturday,Night,Sudurpashchim,Dadeldhura,Highway,Motorcycle,Clear,Over-speeding,Fatal,2,2,1
195,02/15/2023,2023,February,Wednesday,Night,Sudurpashchim,Kailali,Highway,Car,Foggy,Drunk Driving,Minor,0,0,4
196,07/10/2023,2023,July,Monday,Afternoon,Lumbini,Banke,Highway,Car,Clear,Mechanical Failure,Fatal,1,2,3
197,08/27/2023,2023,August,Sunday,Evening,Madhesh,Dhanusha,Highway,Car,Rainy,Poor Road Condition,Fatal,6,2,3
198,03/16/2023,2023,March,Thursday,Early Morning,Bagmati,Chitwan,Highway,Bus,Clear,Over-speeding,Fatal,2,1,1
199,04/05/2021,2021,April,Monday,Morning,Gandaki,Tanahun,Highway,Motorcycle,Clear,Drunk Driving,Minor,0,1,1
200,02/12/2023,2023,February,Sunday,Evening,Gandaki,Kaski,Rural Road,Motorcycle,Foggy,Drunk Driving,Minor,0,1,2
